video_id,channelId,title,video_id,liveBroadcastContent,definition,dimension,duration,relevantTopicIds
Om_zGhJLZ5U,UCOpcACMWblDls9Z6GERVi1A,,,none,hd,2d,PT10M1S,"['/m/02vxn', '/m/02jjt', '/m/02jjt', '/m/02vxn']"
e_7zHm7GsYc,UCw1jzpWLPERKng35P3vN78A,,,none,hd,2d,PT3M43S,"['/m/04rlf', '/m/01lyv', '/m/04rlf', '/m/01lyv']"
dQvIbulWCM4,UCuVHOs0H5hvAHGr8O4yIBNQ,,,none,hd,2d,PT4M55S,"['/m/02jjt', '/m/02jjt']"
zZ9FciUx6gs,UCz8FPpkJMwayyReSDLTX8IQ,,,none,hd,2d,PT4M15S,"['/m/04rlf', '/m/06by7', '/m/06by7', '/m/04rlf']"
PaJCFHXcWmM,UCpd21W3qWyzIl8-PXvyDA2g,,,none,hd,2d,PT4M52S,"['/m/06by7', '/m/04rlf', '/m/04rlf', '/m/06by7']"
goP4Z5wyOlM,UC16niRr50-MSBwiO3YDb3RA,,,none,hd,2d,PT31S,"['/m/098wr', '/m/098wr']"
NZFhMSgbKKM,UCqXNlP7iZsQeS7ZpxBFieNw,,,none,sd,2d,PT32S,"['/m/018w8', '/m/06ntj', '/m/06ntj', '/m/018w8']"
0tO_l_Ed5Rs,UCXhSCMRRPyxSoyLSPFxK7VA,,,none,hd,2d,PT4M17S,"['/m/0glt670', '/m/04rlf', '/m/04rlf', '/m/0glt670']"
STI2fI7sKMo,UCJ15Zl-v8-ghTgEOTpxHdGw,,,none,hd,2d,PT15M51S,
BWPrk9PUwQE,UC_GvMVffgctSISDkeWlKhXQ,,,none,hd,2d,PT6M42S,"['/m/019_rr', '/m/019_rr']"
ogYum4kWXgk,UCIJ0lLcABPdYGp7pRMGccAQ,,,none,hd,2d,PT3M20S,"['/m/068hy', '/m/019_rr', '/m/019_rr', '/m/068hy']"
sbcbvuitiTc,UCrZhVeobsmmsLJbkVK9rUMA,,,none,hd,2d,PT58S,"['/m/018w8', '/m/06ntj', '/m/06ntj', '/m/018w8']"
zNqCVTs38nU,UC80P2XcfjhkfNLh4DdUqvTg,,,none,hd,2d,PT41S,"['/m/06ntj', '/m/06ntj', '/m/0jm_']"
DM-ni_LSOFE,UC0v-tlzsn0QZwJnkiaUSJVQ,,,none,hd,2d,PT8M49S,"['/m/02jjt', '/m/02jjt']"
0PpNlNJ6Nng,UCGCVyTWogzQ4D170BLy2Arw,,,none,hd,2d,PT13M49S,"['/m/019_rr', '/m/03glg', '/m/019_rr', '/m/03glg']"
c-3JxzN2u34,UCVT1tPkR-fUVlO652EcO3ow,,,none,hd,2d,PT5M18S,"['/m/02jjt', '/m/02jjt']"
069D0NmW39o,UCJ5v_MCY6GNUBTO8-D3XoAg,,,none,hd,2d,PT4M58S,"['/m/066wd', '/m/02jjt', '/m/05qjc', '/m/02jjt', '/m/066wd', '/m/05qjc']"
9t9u_yPEidY,UCx1f1u4XlFFr0YgqF3wB4lQ,,,none,hd,2d,PT3M58S,"['/m/064t9', '/m/04rlf', '/m/0g293', '/m/04rlf', '/m/064t9']"
KODzih-pYlU,UCIiBf-JbtCazHSFqXV4JgoA,,,none,hd,2d,PT7M44S,"['/m/02wbm', '/m/019_rr', '/m/019_rr', '/m/02wbm']"
8NHA23f7LvU,UC4PziMH5MvvsmqM0VCZTy-g,,,none,hd,2d,PT2M4S,"['/m/0f2f9', '/m/02jjt', '/m/09kqc', '/m/02jjt', '/m/0f2f9', '/m/09kqc']"
w0XYVssCKjw,UCB_4C2Gl7Zfg4uBXk_AcWwA,,,none,hd,2d,PT4M41S,"['/m/06ntj', '/m/018w8', '/m/06ntj', '/m/018w8']"
9XSULcLI6Hg,,,,,,,,
pjuPpVLXDQg,UC3339WgBDKIcxTfywuSmG8w,,,none,hd,2d,PT1M18S,"['/m/07yv9', '/m/019_rr', '/m/019_rr', '/m/07yv9']"
9xSx-5tmq44,UC7v3-2K1N84V67IF-WTRG-Q,,,none,hd,2d,PT3M28S,"['/m/02vxn', '/m/02jjt', '/m/02jjt', '/m/02vxn']"
4v0nOAzcG2A,UCDlQwv99CovKafGvxyaiNDA,,,none,hd,2d,PT7M49S,"['/m/019_rr', '/m/07c1v', '/m/019_rr', '/m/07c1v']"
oTObwUiXdYY,UC8Su5vZCXWRag13H53zWVwA,,,none,hd,2d,PT46S,"['/m/098wr', '/m/05qt0', '/m/098wr', '/m/05qt0']"
1cgK-BIrXes,UCBR8-60-B28hp2BmDPdntcQ,,,none,hd,2d,PT1M30S,"['/m/01h6rj', '/m/02vxn', '/m/02jjt', '/m/02jjt']"
ujyTQNNjjDU,UCjjC1Jk_1o1VWpLalgo21XQ,,,none,hd,2d,PT4M21S,"['/m/0glt670', '/m/04rlf', '/m/04rlf', '/m/0glt670']"
PABlVzeldaM,UCKuSaHewQKWjR2wFuqfkMEA,,,none,hd,2d,PT4M35S,"['/m/098wr', '/m/098wr']"
6340tX9M_eM,UCKy1dAqELo0zrOtPkf0eTMw,,,none,hd,2d,PT1M39S,"['/m/02vxn', '/m/02jjt', '/m/02jjt', '/m/02vxn']"
8mhTWqWlQzU,UCbAwSkqJ1W_Eg7wr3cp5BUA,,,none,hd,2d,PT16M7S,"['/m/019_rr', '/m/032tl', '/m/019_rr', '/m/032tl']"
t4YAyT4ihIQ,UCi9cDo6239RAzPpBZO9y5SA,,,none,hd,2d,PT4M25S,"['/m/019_rr', '/m/07yv9', '/m/019_rr', '/m/07yv9']"
MNiweoKXwfg,UCHJuQZuzapBh-CuhRYxIZrg,,,none,hd,2d,PT1M27S,"['/m/02jjt', '/m/0f2f9', '/m/02jjt', '/m/0f2f9']"
Jw1Y-zhQURU,UCa1yUHQmV6Z0PpAUtfgNd9g,,,none,hd,2d,PT2M11S,"['/m/019_rr', '/m/019_rr']"
2Vv-BfVoq4g,UC0C-w0YjGpqDXGB8IHb662A,,,none,hd,2d,PT4M40S,"['/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9']"
UFYCTJlayS4,UC3fg6pL63upkXCc0T203wVg,,,none,hd,2d,PT10M4S,"['/m/019_rr', '/m/07c1v', '/m/019_rr', '/m/07c1v']"
cccyOn99s4Y,UCV-s8itWCK3yeCppmSYxtVA,,,none,hd,2d,PT8M3S,"['/m/019_rr', '/m/019_rr']"
